Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
2000,4,-0.521,,1787.23,L,263.068,541.073,H,L,0.446
2000,5,0.157,371.51,1774.19,L,262.655,541.342,M,L,0.271
2000,6,-0.15,371.71,1772.71,L,262.417,541.652,,L,0.252
2000,7,-0.201,369.85,1769.87,L,262.444,541.745,H,L,0.261
2000,8,-0.14,368.2,1762.4,L,262.428,541.777,H,L,0.338
2000,9,-0.247,366.91,1774.22,L,262.365,541.898,H,L,0.309
2000,10,-0.381,,1851.23,L,262.407,542.279,H,L,0.213
2000,11,-0.755,368.33,1799.06,L,262.448,542.379,H,L,0.159
2000,12,-0.575,369.67,1791.13,L,262.356,542.388,H,L,0.179
2001,1,-0.539,370.52,1701.47,L,262.207,542.493,H,L,0.329
2001,2,-0.717,371.49,1793.7,L,261.978,542.613,H,L,0.289
2001,3,-0.607,372.53,1801.51,L,261.612,542.323,M,L,0.475
2001,4,-0.146,373.37,1797.89,L,261.27,542.068,M,L,0.426
2001,5,0.185,373.82,1783.63,L,261.019,542.003,,L,0.399
2001,6,-0.076,373.18,1773.87,L,260.816,542.143,,L,0.416
2001,7,0.253,371.57,1769.8,L,260.612,542.092,H,L,0.452
2001,8,-1.002,369.63,1765.16,L,260.4,542.131,M,L,0.498
2001,9,-0.126,368.16,1780.4,L,260.311,542.279,M,L,0.405
2001,10,-0.276,,1791.44,L,260.355,542.802,H,L,0.378
2001,11,-0.18,369.69,1793.55,L,260.434,543.226,H,L,0.491
2001,12,0.003,371.18,1796.58,L,260.432,543.419,H,L,0.323
2002,1,-0.05,372.45,1787.94,L,260.392,543.501,H,L,0.568
2002,2,-0.21,,1783.38,L,260.284,543.813,H,L,0.593
2002,3,-0.201,373.93,1786.67,L,260.008,543.473,H,L,0.586
2002,4,0.339,375.0,1782.47,L,259.574,269.574,H,L,0.443
2002,5,0.744,375.65,1778.81,L,259.153,543.053,H,L,0.432
2002,6,0.853,375.5,1775.11,L,258.797,543.279,H,L,0.455
2002,7,0.596,374.0,1766.96,L,258.6,543.181,M,L,0.462
2002,8,0.922,371.83,1766.58,L,258.399,542.882,M,L,0.417
2002,9,0.808,370.66,1780.92,L,258.269,543.078,M,L,0.413
2002,10,0.952,370.51,1796.0,L,258.274,543.472,H,L,0.362
2002,11,1.059,372.2,1801.67,L,258.289,543.647,M,L,0.397
2002,12,1.11,373.71,1793.14,L,257.956,543.383,H,L,0.326
2003,1,1.184,374.87,1786.46,L,257.416,543.113,H,L,0.514
2003,2,0.927,375.62,1792.28,L,257.107,543.032,H,L,0.427
2003,3,0.819,376.48,1797.44,L,256.985,543.149,M,L,0.418
2003,4,0.308,377.74,1795.5,L,256.724,543.028,,L,0.408
2003,5,0.048,378.5,1745.08,L,256.395,542.513,M,L,0.439
2003,6,0.026,378.18,1791.12,L,256.239,542.162,M,L,0.437
2003,7,0.089,376.72,1785.91,L,256.118,542.208,M,L,0.457
2003,8,0.241,374.32,1773.56,L,255.889,542.529,M,L,0.514
2003,9,0.441,,1788.75,L,255.641,542.719,M,L,0.499
2003,10,0.509,373.1,1806.62,L,255.573,542.935,L,L,0.55
2003,11,0.519,374.64,1808.15,L,255.679,543.166,M,L,0.419
2003,12,0.315,375.93,1795.07,L,255.522,543.199,M,L,0.519
2004,1,0.308,377.0,1790.34,L,255.276,543.133,M,L,0.496
2004,2,0.33,377.87,1798.45,L,255.018,543.039,M,L,0.56
2004,3,-0.125,378.73,1807.48,L,254.712,543.008,M,L,0.501
2004,4,0.216,380.41,1806.05,L,254.385,542.685,M,L,0.484
2004,5,0.47,380.63,1788.24,L,254.176,542.361,M,L,0.323
2004,6,0.17,379.56,1780.35,L,253.87,542.098,M,L,0.35
2004,7,0.472,377.61,1749.09,L,253.59,541.999,M,L,0.38
2004,8,0.669,376.15,1770.29,L,253.44,541.864,M,L,0.418
2004,9,0.524,374.11,1778.7,L,253.211,541.798,M,L,0.442
2004,10,0.467,,1791.29,L,252.899,542.317,,L,0.468
2004,11,0.786,375.93,1801.03,L,252.783,542.474,M,L,0.521
2004,12,0.643,377.45,1797.24,L,252.754,542.172,M,L,0.381
2005,1,0.301,378.47,1789.02,L,252.659,541.892,,L,0.452
2005,2,0.799,379.76,1796.63,L,252.479,542.021,M,L,0.364
2005,3,0.203,381.14,1803.37,L,252.271,542.044,M,L,0.493
2005,4,0.559,382.2,1791.84,L,251.965,541.74,M,L,0.53
2005,5,0.756,382.47,1781.36,L,251.676,541.332,M,L,0.476
2005,6,0.487,,1780.6,L,251.511,540.979,M,L,0.506
2005,7,0.492,380.78,1771.92,L,251.306,540.964,M,L,0.532
2005,8,0.321,378.73,1766.98,L,251.077,540.978,M,L,0.502
2005,9,0.255,,1787.78,L,250.998,541.206,M,L,0.498
2005,10,-0.166,376.98,1806.71,L,251.021,541.44,M,L,0.495
2005,11,-0.407,378.29,1803.68,L,251.048,541.756,M,L,0.478
2005,12,-0.585,379.92,1753.72,L,250.989,541.799,M,L,0.366
2006,1,-0.471,381.35,1795.03,H,250.771,541.627,M,L,0.32
2006,2,-0.475,382.16,1786.41,L,250.484,541.273,M,L,0.435
2006,3,-0.591,382.66,1786.77,L,250.155,540.952,M,L,0.38
2006,4,-0.688,384.73,1850.55,L,249.989,540.741,M,L,0.378
2006,5,-0.036,384.98,1798.85,H,249.839,540.456,M,L,0.352
2006,6,0.563,384.09,1780.21,L,249.614,539.999,M,L,0.442
2006,7,0.628,382.38,1765.95,L,249.247,539.725,M,L,0.456
2006,8,0.759,380.45,1762.66,L,248.981,539.682,L,M,0.482
2006,9,0.793,378.92,1776.04,L,248.775,539.566,M,M,0.425
2006,10,0.892,379.16,1789.02,L,248.666,539.488,M,M,0.472
2006,11,1.292,380.18,1791.91,L,248.605,539.5,L,M,0.44
2006,12,0.951,381.79,1795.04,L,248.48,539.377,L,M,0.518
2007,1,0.974,382.93,1799.66,L,248.372,539.206,L,M,0.601
2007,2,0.51,383.81,1803.08,L,248.264,538.973,L,M,0.498
2007,3,0.072,384.56,1803.1,L,247.997,538.811,M,M,0.435
2007,4,-0.049,386.4,1750.95,L,247.574,257.574,L,M,0.466
2007,5,0.183,386.58,1877.61,L,247.224,538.13,L,M,0.372
2007,6,-0.358,386.05,1781.81,L,246.881,537.376,M,M,0.382
2007,7,-0.29,384.49,1771.89,L,246.497,537.113,,M,0.394
2007,8,-0.44,382.0,1779.38,L,246.307,537.125,M,M,0.358
2007,9,-1.162,380.9,1794.21,L,246.214,537.281,L,M,0.402
2007,10,-1.142,381.14,1802.38,L,246.189,537.38,L,M,0.362
2007,11,-1.177,382.42,1803.79,L,246.178,537.319,L,M,0.266
2007,12,-1.168,383.89,1805.58,L,246.261,537.052,L,M,0.226
2008,1,-1.011,385.44,1809.92,L,246.183,536.876,L,L,0.074
2008,2,-1.402,385.73,1803.45,L,245.898,536.484,L,L,0.198
2008,3,-1.635,385.97,1792.84,L,245.43,535.979,L,L,0.447
2008,4,-0.942,387.16,1792.57,L,245.086,535.648,L,L,0.278
2008,5,-0.355,388.5,1796.43,L,244.914,535.399,L,L,0.283
2008,6,0.128,387.88,1791.8,L,244.676,535.128,L,L,0.315
2008,7,0.003,386.42,1782.93,L,244.434,535.026,L,L,0.406
2008,8,-0.266,384.15,1779.88,L,244.2,535.072,L,L,0.407
2008,9,-0.643,383.09,1795.08,L,244.083,535.048,L,M,0.378
2008,10,-0.78,382.99,1814.18,L,244.08,534.927,L,M,0.44
2008,11,1.345,384.13,1812.37,L,244.225,534.906,L,M,0.394
2008,12,2.467,385.56,1812.88,L,244.204,535.005,L,M,0.33
